school_id,year,name,medical-exemptions,religious-exemptions,polio,measles,mumps,rubella,diphtheria,hepb,varicella,completely-immunized,street,city,county,state,zip,latitude,longitude,address,address2
3.32E+11,2014-2015,B'Not Rachel Hs For Girls,0,0,100,100,100,100,100,100,100,100,1950 E 7TH ST,BROOKLYN,KINGS,NY,11223,40.6030273,-73.9653778,"1950 E 7TH ST, BROOKLYN, NY, 11223","1950 E 7th St, Brooklyn, NY 11223"
3.32E+11,2014-2015,Darchai Menachem School For Boys,0,0,100,100,100,100,100,100,100,100,823 EASTERN PKWAY,BROOKLYN,KINGS,NY,11213,40.6697845,-73.9409866,"823 EASTERN PKWAY, BROOKLYN, NY, 11213","823 Eastern Pkwy, Brooklyn, NY 11213"
3.53E+11,2014-2015,Smiles Around Us Academy,0,0,100,100,100,100,100,100,100,100,351 SAND LANE,STATEN ISLAND,RICHMOND,NY,10305,40.5911974,-74.0673734,"351 SAND LANE, STATEN ISLAND, NY, 10305","351 Sand Ln, Staten Island, NY 10305"
3.32E+11,2014-2015,New Grace Center,0,0,100,100,100,100,100,100,100,100,650 LIVONIA AVENUE,BROOKLYN,KINGS,NY,11207,40.6647186,-73.8927078,"650 LIVONIA AVENUE, BROOKLYN, NY, 11207","650 Livonia Ave, Brooklyn, NY 11207"
3.32E+11,2014-2015,Bais Esther School,0,0.64,99.4,99.1,99.1,99.1,99.4,99.2,99.1,98.1,1353 50TH STREET,BROOKLYN,KINGS,NY,11219,40.6337996,-73.9915084,"1353 50TH STREET, BROOKLYN, NY, 11219","1353 50th St, Brooklyn, NY 11219"
3.32E+11,2014-2015,Yeshiva Of Flatbush Elem Sch,0,0.55,99.5,99.5,99.5,99.5,99.5,99.5,99.5,98.3,919 E TENTH ST,BROOKLYN,KINGS,NY,11230,40.6265373,-73.966156,"919 E TENTH ST, BROOKLYN, NY, 11230","919 E 10th St, Brooklyn, NY 11230"
3.43E+11,2014-2015,Lowell School-Bayside,0,0.98,99,99,99,99,99,99,99,99,203-05 32ND AVENUE,QUEENS,QUEENS,NY,11361,40.7705875,-73.7865192,"203-05 32ND AVENUE, QUEENS, NY, 11361","203-05 32nd Ave, Bayside, NY 11361"
3.10E+11,2014-2015,Grace Church School,0,0.49,99.5,99.5,99.3,99.5,99.5,99.3,98.9,98.5,86 FOURTH AVENUE,NEW YORK,NEW YORK,NY,10003,40.731672,-73.9903524,"86 FOURTH AVENUE, NEW YORK, NY, 10003","86 4th Ave, New York, NY 10003"
3.11E+11,2014-2015,St. Elizabeth School,0,0,100,100,100,100,100,100,100,100,612 W 187TH ST,NEW YORK,NEW YORK,NY,10033,40.8532304,-73.9315309,"612 W 187TH ST, NEW YORK, NY, 10033","612 W 187th St, New York, NY 10033"
3.21E+11,2014-2015,New Covenant Christian School,0,0,94.6,97.3,97.3,97.3,95.7,96.2,95.7,85.9,1497 NEEDHAM AVENUE,BRONX,BRONX,NY,10469,40.8801156,-73.8482416,"1497 NEEDHAM AVENUE, BRONX, NY, 10469","1497 Needham Ave, Bronx, NY 10469"
3.32E+11,2014-2015,Rabbinical Academy Mesivta Rabbi Chaim Berlin,0,0,99.1,99.1,99.1,99.1,99.1,98.7,97.8,97.8,1585 CONEY ISLAND AVENUE,BROOKLYN,KINGS,NY,11230,40.6187782,-73.9636765,"1585 CONEY ISLAND AVENUE, BROOKLYN, NY, 11230","1585 Coney Island Ave, Brooklyn, NY 11230"
3.32E+11,2014-2015,Scholar Skills Christian Academy,0,0,100,100,100,100,100,100,100,100,4705 AVENUE N,BROOKLYN,KINGS,NY,11234,40.619037,-73.929496,"4705 AVENUE N, BROOKLYN, NY, 11234","4705 Avenue N, Brooklyn, NY 11234"
3.43E+11,2014-2015,Rosedale Child Development Center,0,0,100,100,100,100,100,100,100,100,133-55 242nd St,Rosedale,QUEENS,NY,11422,40.6733099,-73.7319611,"133-55 242nd St, Rosedale, NY, 11422","133-55 242nd St, Rosedale, NY 11422"
3.10E+11,2014-2015,"Nysarc, Inc., Nyc Chapter",2.48,3.47,94.1,94.1,94.1,94.1,94.1,94.1,94.1,94.1,83 MAIDEN LANE,NEW YORK,NEW YORK,NY,10038,40.707538,-74.007362,"83 MAIDEN LANE, NEW YORK, NY, 10038","83 Maiden Ln, New York, NY 10038"
3.32E+11,2014-2015,Batallion Christian Academy,0.7,0.7,93,93,93,93,93,93,93,91.6,661 LINDEN BOULEVARD,BROOKLYN,KINGS,NY,11203,40.6539001,-73.9338837,"661 LINDEN BOULEVARD, BROOKLYN, NY, 11203","661 Linden Blvd, Brooklyn, NY 11203"
3.32E+11,2014-2015,Talmud Torah Ohr Moshe,0.46,1.85,97.7,97.5,97.5,97.5,97.5,97.7,95.8,95.2,1774 58th St,BROOKLYN,KINGS,NY,11204,40.623516,-73.9867502,"1774 58th St, BROOKLYN, NY, 11204","1774 58th St, Brooklyn, NY 11204"
3.10E+11,2014-2015,Gateway School Of Ny,1.79,1.79,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,211 W 61 STREET,NEW YORK,NEW YORK,NY,10023,40.7720661,-73.9875394,"211 W 61 STREET, NEW YORK, NY, 10023","211 W 61st St, New York, NY 10023"
3.32E+11,2014-2015,Yeshiva Torah Temimah,0.19,0.19,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,555 OCEAN PKY,BROOKLYN,KINGS,NY,11218,40.6348074,-73.9721274,"555 OCEAN PKY, BROOKLYN, NY, 11218","555 Ocean Pkwy, Brooklyn, NY 11218"
3.32E+11,2014-2015,Yeshivas Boyan Tifrth Mord Sholomo,0,0,100,100,100,100,100,99.5,97.9,96.4,1205 44TH STREET,BROOKLYN,KINGS,NY,11219,40.6390534,-73.991143,"1205 44TH STREET, BROOKLYN, NY, 11219","1205 44th St, Brooklyn, NY 11219"
3.11E+11,2014-2015,Yeshiva Univ H S,0,0,100,100,100,100,100,100,100,100,2540 AMSTERDAM AVENUE,NEW YORK,NEW YORK,NY,10033,40.8517876,-73.9288788,"2540 AMSTERDAM AVENUE, NEW YORK, NY, 10033","2540 Amsterdam Ave, New York, NY 10033"
3.21E+11,2014-2015,Visitation School,0,0,100,100,100,100,100,100,100,100,171 W 239TH ST,BRONX,BRONX,NY,10463,40.8855665,-73.8989916,"171 W 239TH ST, BRONX, NY, 10463","171 W 239th St, Bronx, NY 10463"
3.32E+11,2014-2015,St. Mary Mother Of Jesus School-St. Frances Cabrini,0,0.54,98.4,98.9,98.9,98.9,98.9,99.5,96.7,95.7,8401 23RD AVENUE,BROOKLYN,KINGS,NY,11214,40.601181,-73.9902573,"8401 23RD AVENUE, BROOKLYN, NY, 11214","8401 23rd Ave, Brooklyn, NY 11214"
3.43E+11,2014-2015,Kew Forest School,0.44,0.44,99.1,99.1,99.1,99.1,99.1,98.7,99.1,98.7,119-17 UNION TURNPIKE,FOREST HILLS,QUEENS,NY,11375,40.7134987,-73.8332132,"119-17 UNION TURNPIKE, FOREST HILLS, NY, 11375","119-17 Union Tpke, Forest Hills, NY 11375"
3.32E+11,2014-2015,Lev Bais Yaakov,0,0.99,98.6,98.6,98.6,98.8,98.8,98.8,98.2,97.6,3574 NOSTRAND AVENUE,BROOKLYN,KINGS,NY,11229,40.5967255,-73.9415207,"3574 NOSTRAND AVENUE, BROOKLYN, NY, 11229","3574 Nostrand Ave, Brooklyn, NY 11229"
3.43E+11,2014-2015,Sacred Heart School,0,0,100,100,100,100,100,100,100,100,115-50 221ST ST,CAMBRIA HEIGHTS,QUEENS,NY,11411,40.6985588,-73.7374033,"115-50 221ST ST, CAMBRIA HEIGHTS, NY, 11411","115-50 221st St, Cambria Heights, NY 11411"
3.32E+11,2014-2015,Mount Moriah Christian Academy,0,0,100,100,100,100,100,100,100,100,1149 EASTERN PKY,BROOKLYN,KINGS,NY,11213,40.6690089,-73.9302166,"1149 EASTERN PKY, BROOKLYN, NY, 11213","1149 Eastern Pkwy, Brooklyn, NY 11213"
3.43E+11,2014-2015,St. Kevin School,0,0,100,100,100,100,100,100,100,100,45-50 195TH ST,FLUSHING,QUEENS,NY,11358,40.7548081,-73.7863422,"45-50 195TH ST, FLUSHING, NY, 11358","45-50 195th St, Flushing, NY 11358"
3.31E+11,2014-2015,Mesivta Nachlas Yacov-A Yerim,0,0,98.8,98.8,98.8,98.8,98.8,98.8,98.8,97.5,185 WILSON ST,BROOKLYN,KINGS,NY,11211,40.7066088,-73.9605866,"185 WILSON ST, BROOKLYN, NY, 11211","185 Wilson St, Brooklyn, NY 11211"
3.21E+11,2014-2015,Fordham Preparatory School,0,0.62,99.3,99.4,99.4,99.4,99.3,99.4,99.4,99.3,EAST FORDHAM ROAD,BRONX,BRONX,NY,10458,40.8619194,-73.8935165,"EAST FORDHAM ROAD, BRONX, NY, 10458","E Fordham Rd, Bronx, NY 10458"
3.32E+11,2014-2015,Ahaba Ve Ahva Cong. And Yeshiva,0,0,100,100,100,100,100,100,100,100,2001 EAST 7TH STREET,BROOKLYN,KINGS,NY,11223,40.601757,-73.9644928,"2001 EAST 7TH STREET, BROOKLYN, NY, 11223","2001 E 7th St, Brooklyn, NY 11223"
3.53E+11,2014-2015,St. John Villa Acad H S,0,0,100,100,100,100,100,100,100,100,26 LANDIS AVENUE,STATEN ISLAND,RICHMOND,NY,10305,40.6008419,-74.0688412,"26 LANDIS AVENUE, STATEN ISLAND, NY, 10305","26 Landis Ave, Staten Island, NY 10305"
3.21E+11,2014-2015,Horace Mann-Barnard Elem,0,0,100,100,100,100,99.3,100,100,99.3,4440 TIBBETT AVENUE,BRONX,BRONX,NY,10471,40.8924356,-73.9002637,"4440 TIBBETT AVENUE, BRONX, NY, 10471","4440 Tibbett Ave, Bronx, NY 10471"
