"ID","WindForce","Cliwoc.Class","Beaufort","mps"
"284","constante","8",NA,NA
"285","CONSTANTE Y FRÍO","8",NA,NA
"286","CONTRARIO","8",NA,NA
"287","CONTRARIO Y MUY FUERTE","4","9","22.6000004"
"288","contrarios","8",NA,NA
"289","crecida","8",NA,NA
"290","CUANDO FLOJO Y CUANDO FRESCO","2","3","4.5999999"
"291","CUASI CALMA","1","1","1"
"292","CUASI CALMA EN TODO","1","1","1"
"293","CUASI CALMA Y MUY VARIABLE","1","1","1"
"294","CUASI CALMA Y VARIABLE","1","1","1"
"295","CUASI EN CALMA","1","1","1"
"296","DE 6 A 7 MILLAS","2","2","2.5999999"
"297","DE 6 Y 7 MILLAS","2","2","2.5999999"
"298","DE 8 Y 9 MILLAS","2","3","4.5999999"
"299","DE ALTA VELA","3","6","12.3000002"
"300","DE ALTA VELA Y EN RAFAGAS","3","6","12.3000002"
"301","DE TODA VELA","3","6","12.3000002"
"302","DE TODA VELA LARGA","3","6","12.3000002"
"303","DE TODA VELA Y VARIABLE","3","6","12.3000002"
"304","DE TODA VELA. FRESQUITO","3","6","12.3000002"
"305","DE TURBONADA","4","9","22.6000004"
"306","DE VELA LARGA","3","6","12.3000002"
"307","DECADENTE","8",NA,NA
"308","DEMASIADAMENTE FRESCO","3","6","13.1000004"
"309","DEMASIADO","8",NA,NA
"310","DEMASIADO BONANCIBLE","2","4","7.30000019"
"311","DEMASIADO FRESCO","3","6","13.1000004"
"312","DEMASIADO FUERTE","3","7","16.2999992"
"313","DESIGUAL","8",NA,NA
"314","DESIGUAL FRESCO","3","6","12.3000002"
"315","DESPUES CALMA","1","0","0"
"316","DESPUES CALMO","1","0","0"
"317","DISMINUYENDO PROGRESIVAMENTE","8",NA,NA
"318","DISMINUYENDO SU FUERZA","8",NA,NA
"319","DURISIMO","4","8","19"
"320","DURITO","3","6","12.3000002"
"321","DURO","3","7","15.3999996"
"322","DURO FRESCO","3","7","13.8999996"
"323","DUROS","3","7","15.3999996"
"324","EMPEZÓ A TOMAR FUERZA","8",NA,NA
"325","EN CALMA","1","0","0"
"326","EN CALMA HASTA LAS 16:30 QUE ENTRA POR EL ENE","1","0","0"
"327","EN FUERTE HURACAN","4","12","35"
"328","EN FUGADAS","8",NA,NA
"329","EN HURACAN","4","12","35"
"330","EN HURACAN DESHECHO","4","12","35"
"331","EN OCASIONES FUERTE Y EN OTRAS BONANCIBLE","3","7","15.3999996"
"332","EN RAFAGAS","8",NA,NA
"333","EN RÁFAGAS","8",NA,NA
"334","EN RATOS FRESCO Y EN RATOS BONANCIBLE","3","6","12.3000002"
"335","EN RATOS FRESCO Y OTROS BONANCIBLE","3","6","12.3000002"
"336","EN RATOS MUY FRESCO Y EN RATOS BONANCIBLE","3","7","15.3999996"
"337","EN REFREGONES FUERTES Y DESPUES BONANCIBLE","2","4","6.69999981"
"338","EN TIEMPOS MUY FRESCO Y MUCHOS CONTRASOLES","3","7","15.3999996"
"339","EN VECES BONANCIBLE","2","4","6.69999981"
