state,st,disease,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Arizona,AZ,Varicella,6811,6783,NA,NA,NA,NA,245,NN,951,2,NN,NN,,,,,,,,,
Colorado,CO,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,NN,NN,NN,,,,,,,,,
Idaho,ID,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,3,0,0,NN,,,,,,,,,
Montana,MT,Varicella,84,53,NA,NA,NA,NA,NN,NN,NN,0,0,NN,,,,,,,,,
Nevada,NV,Varicella,NN,NN,NA,NA,NA,NA,42,NN,2,0,0,NN,,,,,,,,,
New Mexico,NM,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,0,7,NN,,,,,,,,,
Utah,UT,Varicella,297,450,NA,NA,NA,NA,136,147,92,147,762,NN,,,,,,,,,
Wyoming,WY,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,68,113,NN,,,,,,,,,
Alaska,AK,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,0,0,NN,,,,,,,,,
California,CA,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,0,NN,NN,,,,,,,,,
Hawaii,HI,Varicella,2303,1224,NA,NA,NA,NA,NN,NN,0,0,0,NN,,,,,,,,,
Oregon,OR,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,0,0,NN,NN,,,,,,,,,
Washington,WA,Varicella,NN,NN,NA,NA,NA,NA,NN,NN,NN,0,NN,NN,,,,,,,,,
USA,USA,Rubella,192,227,128,,,,,,,,,,,,,,,,,,
Maine,ME,Rubella,1,0,0,,,,,,,,,,,,,,,,,,
New Hampshire,NH,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Vermont,VT,Rubella,0,0,,,,,,,,,,,,,,,,,,,
Massachusetts,MA,Rubella,9,126,,,,,,,,,,,,,,,,,,,
Rhode Island,RI,Rubella,0,3,,,,,,,,,,,,,,,,,,,
Connecticut,CT,Rubella,0,3,,,,,,,,,,,,,,,,,,,
New York (exc NYC),NY,Rubella,17,6,,,,,,,,,,,,,,,,,,,
